State,District,Location,Longitude,Latitude,Cd,Cr,Cu,Pb,Mn,Ni,Fe,Zn
Andaman & Nicobar Islands,North & Middle Andaman,Bakultala,92.857700,12.504300,0.446000,0.182000,0.178569,0.719000,0.034000,1.508000,0.701000,0.184000
Andaman & Nicobar Islands,North & Middle Andaman,Baratang (Nilambur),92.767000,12.168300,0.408000,0.398000,0.335616,1.107000,0.004000,1.617000,0.834000,0.098000
Andaman & Nicobar Islands,North & Middle Andaman,Basantipur,92.873700,12.757900,0.412000,0.239000,0.677995,0.571000,0.013000,1.461000,0.701000,0.075000
Andaman & Nicobar Islands,North & Middle Andaman,Betapur,92.943400,12.619100,0.452000,0.403000,0.055644,0.506000,0.014000,1.772000,1.147000,0.080000
Andaman & Nicobar Islands,North & Middle Andaman,Dhobidera (Mayabunder),92.899200,12.909900,0.370000,0.387000,0.518428,0.571000,0.014000,1.624000,1.147000,0.049000
Andaman & Nicobar Islands,North & Middle Andaman,Durgapur,93.023600,13.276500,0.441000,0.361000,0.025680,1.594000,0.042000,1.520000,1.001000,0.069000
Andaman & Nicobar Islands,North & Middle Andaman,Haribay,92.844200,13.002300,0.457000,0.398000,0.431182,0.728000,0.012000,1.563000,1.227000,0.127000
Andaman & Nicobar Islands,North & Middle Andaman,Joypur,92.880900,12.698200,0.449000,0.387000,0.337728,2.348000,0.025000,1.508000,1.308000,0.055000
Andaman & Nicobar Islands,North & Middle Andaman,Kadamtala,92.775000,12.348800,0.422000,0.134000,0.234800,0.571000,0.078000,1.554000,1.227000,0.048000
Andaman & Nicobar Islands,North & Middle Andaman,Kausalyanagar,92.818900,12.528400,0.441000,0.189000,0.299131,1.013000,0.025000,1.581000,0.704000,0.181000
Andaman & Nicobar Islands,North & Middle Andaman,Keralapuram,93.013500,13.258800,0.448000,0.361000,0.453886,1.109000,0.002000,1.563000,0.801000,0.172000
Andaman & Nicobar Islands,North & Middle Andaman,Kishorinagar (Parangara),92.883900,13.163000,0.362000,0.209000,0.743131,0.396000,0.014000,1.603000,1.081000,0.089000
Andaman & Nicobar Islands,North & Middle Andaman,Laxmipur,92.964000,13.287300,0.398000,0.398000,0.184092,0.071000,0.001000,1.808000,0.834000,0.052000
Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.924800,12.365300,0.403000,0.361000,0.456834,1.112000,0.013000,1.617000,1.062000,0.109000
Andaman & Nicobar Islands,North & Middle Andaman,Long Island,92.923700,12.364400,0.354000,0.134000,0.048490,0.566000,0.014000,1.563000,1.001000,0.127000
Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Forest Area),92.923100,12.366700,0.472000,0.364000,0.440260,1.109000,0.004000,1.808000,1.014000,0.105000
Andaman & Nicobar Islands,North & Middle Andaman,Long Island (Sec. School),92.917600,12.367100,0.451000,0.243000,0.001724,1.112000,0.013000,1.583000,1.220000,0.153000
Andaman & Nicobar Islands,North & Middle Andaman,Milangram,92.943100,13.314800,0.370000,0.376000,0.588590,0.537000,0.042000,1.670000,0.896000,0.127000
Andaman & Nicobar Islands,North & Middle Andaman,Mohanpur,92.835700,12.954600,0.425000,0.364000,0.188163,1.480000,0.042000,1.617000,1.308000,0.256000
Andaman & Nicobar Islands,North & Middle Andaman,Nabagram,92.949100,13.155500,0.362000,0.182000,0.212492,2.348000,0.043000,1.508000,1.081000,0.218000
Andaman & Nicobar Islands,North & Middle Andaman,Nimbutala,92.954200,12.494600,0.400000,0.189000,0.746608,1.306000,0.014000,1.636000,1.028000,0.047000
Andaman & Nicobar Islands,North & Middle Andaman,Padmanavapuram,92.949300,12.606300,0.434000,0.216000,0.745405,1.323000,0.006000,1.563000,0.813000,0.049000
Andaman & Nicobar Islands,North & Middle Andaman,Pahalgaon,92.853200,12.839300,0.370000,0.373000,0.390825,0.506000,0.056000,1.508000,0.834000,0.058000
Andaman & Nicobar Islands,North & Middle Andaman,Parnashala,92.904300,12.524400,0.425000,0.266000,0.448725,0.396000,0.019000,1.628000,1.066000,0.048000
Andaman & Nicobar Islands,North & Middle Andaman,Phooltala Basti,92.762900,12.411800,0.379000,0.364000,0.031916,0.245000,0.006000,1.808000,1.001000,0.256000
Andaman & Nicobar Islands,North & Middle Andaman,Porlobjig-15,92.781300,12.496000,0.472000,0.379000,0.648617,0.571000,0.043000,1.558000,1.224000,0.172000
Andaman & Nicobar Islands,North & Middle Andaman,Rangat,92.910800,12.505700,0.448000,0.069000,0.686875,2.348000,0.010000,1.508000,1.014000,0.049000
Andaman & Nicobar Islands,North & Middle Andaman,Rest Camp,92.859300,12.832800,0.362000,0.209000,0.280917,1.109000,0.034000,1.651000,0.813000,0.058000
Andaman & Nicobar Islands,North & Middle Andaman,Shibpur,93.042100,13.250700,0.354000,0.401000,0.629143,0.566000,0.012000,1.607000,1.135000,0.141000
Andaman & Nicobar Islands,North & Middle Andaman,Sitanagar,92.935900,13.226100,0.408000,0.401000,0.536503,0.245000,0.043000,1.674000,1.152000,0.052000
Andaman & Nicobar Islands,North & Middle Andaman,South Creek (Sundergarh),92.791900,12.186900,0.474000,0.398000,0.101830,0.245000,0.078000,1.551000,1.045000,0.048000
Andaman & Nicobar Islands,North & Middle Andaman,Srinagar,92.868800,13.139900,0.370000,0.410000,0.257799,0.915000,0.010000,1.583000,0.896000,0.052000
Andaman & Nicobar Islands,North & Middle Andaman,Subhasgram,92.966200,13.243200,0.446000,0.362000,0.187895,0.908000,0.004000,1.543000,1.224000,0.309000
Andaman & Nicobar Islands,North & Middle Andaman,Swadeshnagar,92.892400,12.650800,0.446000,0.243000,0.395502,0.043000,0.006000,1.562000,1.135000,0.089000
Andaman & Nicobar Islands,North & Middle Andaman,Tikadera,92.814000,12.522800,0.472000,0.379000,0.371715,1.633000,0.013000,1.670000,1.001000,0.309000
Andaman & Nicobar Islands,North & Middle Andaman,Tugapur No. 8,92.822400,12.819600,0.425000,0.209000,0.601421,0.252000,0.025000,1.772000,0.701000,0.049000
Andaman & Nicobar Islands,North & Middle Andaman,Uttara,92.790100,12.328000,0.412000,0.189000,0.185009,0.506000,0.013000,1.617000,0.955000,0.309000
Andaman & Nicobar Islands,North & Middle Andaman,Webi (Debipur),92.872000,12.866900,0.422000,0.364000,0.704525,1.306000,0.014000,1.659000,1.001000,0.141000
Andaman & Nicobar Islands,South Andaman,6½ No. Forest Camp,92.967100,12.008000,0.505000,0.209000,0.348669,0.245000,0.012000,1.624000,0.801000,0.256000
Andaman & Nicobar Islands,South Andaman,Annikat,92.648200,11.707500,0.444000,0.104000,0.514200,0.537000,0.087000,1.451000,0.834000,0.098000
Andaman & Nicobar Islands,South Andaman,Austinabad (Port Blair),92.734700,11.635100,0.441000,0.369000,0.015507,1.306000,0.014000,1.520000,0.955000,0.105000
Andaman & Nicobar Islands,South Andaman,Bambooflat,92.715000,11.705500,0.441000,0.189000,0.378849,2.348000,0.067000,1.543000,1.194000,0.098000
Andaman & Nicobar Islands,South Andaman,Beadnabad Tubewell,92.733900,11.585600,0.441000,0.376000,0.020543,1.422000,0.012000,1.628000,1.135000,0.079000
Andaman & Nicobar Islands,South Andaman,Bharatpur,93.038400,11.830400,0.422000,0.379000,0.096844,1.306000,0.034000,1.670000,1.147000,0.181000
Andaman & Nicobar Islands,South Andaman,Bharatpur,93.044700,11.836200,0.403000,0.410000,0.713260,1.650000,0.078000,1.543000,1.220000,0.069000
Andaman & Nicobar Islands,South Andaman,Bindraban,92.667400,11.722000,0.474000,0.230000,0.681371,0.719000,0.013000,1.543000,1.308000,0.127000
Andaman & Nicobar Islands,South Andaman,Brichganj,92.737700,11.615000,0.412000,0.379000,0.206682,0.719000,0.087000,1.492000,0.701000,0.055000
